,PosC,Pos1B,Pos2B,Pos3B,PosSS,PosINF,PosOF,PosUT,PosP
"Brady Singer (KCR)",0,0,0,0,0,0,0,0,1
"Joey Ortiz (MIL)",0,0,1,1,1,1,0,1,0
"Kyle Hendricks (CHC)",0,0,0,0,0,0,0,0,1
"Casey Mize (DET)",0,0,0,0,0,0,0,0,1
"Jon Berti (MIA)",0,0,0,1,1,1,0,1,0
"Matt Vierling (DET)",0,0,0,1,0,1,1,1,0
"Edward Olivares (PIT)",0,0,0,0,0,0,1,1,0
"Adam Duvall ()",0,0,0,0,0,0,1,1,0
"Keaton Winn (SFG)",0,0,0,0,0,0,0,0,1
"Ramon Laureano (CLE)",0,0,0,0,0,0,1,1,0
"A.J. Minter (ATL)",0,0,0,0,0,0,0,0,1
"Jeff Hoffman (PHI)",0,0,0,0,0,0,0,0,1
"Jordan Wicks (CHC)",0,0,0,0,0,0,0,0,1
"Mike Clevinger ()",0,0,0,0,0,0,0,0,1
"Cavan Biggio (TOR)",0,1,1,0,0,1,1,1,0
"Gavin Stone (LAD)",0,0,0,0,0,0,0,0,1
"Nick Martinez (CIN)",0,0,0,0,0,0,0,0,1
"Chris Martin (BOS)",0,0,0,0,0,0,0,0,1
"Jake McCarthy (ARI)",0,0,0,0,0,0,1,1,0
"Sawyer Gipson-Long (DET)",0,0,0,0,0,0,0,0,1
"Clayton Kershaw (LAD)",0,0,0,0,0,0,0,0,1
"Jose Urquidy (HOU)",0,0,0,0,0,0,0,0,1
"Michael Kopech (CHW)",0,0,0,0,0,0,0,0,1
"Christian Bethancourt (MIA)",1,0,0,0,0,1,0,1,0
"Tylor Megill (NYM)",0,0,0,0,0,0,0,0,1
"Sean Bouchard (COL)",0,0,0,0,0,0,1,1,0
"Marco Luciano (SFG)",0,0,0,0,1,1,0,1,0
"Alex Cobb (SFG)",0,0,0,0,0,0,0,0,1
"J.D. Davis ()",0,0,0,1,0,1,0,1,0
"Miguel Amaya (CHC)",1,0,0,0,0,1,0,1,0
"Seth Brown (OAK)",0,0,0,0,0,0,1,1,0
"Scott Barlow (CLE)",0,0,0,0,0,0,0,0,1
"Hunter Goodman ()",0,1,0,0,0,1,1,1,0
"Jason Foley (DET)",0,0,0,0,0,0,0,0,1
"Kyle Farmer (MIN)",0,0,1,1,1,1,0,1,0
"Nick Fortes (MIA)",1,0,0,0,0,1,0,1,0
"Mauricio Dubon (HOU)",0,0,1,0,0,1,1,1,0
"Tyler Kinley (COL)",0,0,0,0,0,0,0,0,1
"Andrew Nardi (MIA)",0,0,0,0,0,0,0,0,1
"Josh Rojas (SEA)",0,0,1,1,0,1,0,1,0
"Eddie Rosario (WSN)",0,0,0,0,0,0,1,1,0
"Yasmani Grandal (PIT)",1,0,0,0,0,1,0,1,0
"Wade Miley (MIL)",0,0,0,0,0,0,0,0,1
"Miguel Vargas (LAD)",0,0,1,0,0,1,0,1,0
"Tyler Soderstrom (OAK)",1,1,0,0,0,1,0,1,0
"Cole Irvin (BAL)",0,0,0,0,0,0,0,0,1
"Colton Cowser (BAL)",0,0,0,0,0,0,1,1,0
"Brayan Rocchio (CLE)",0,0,0,1,1,1,0,1,0
"Kevin Ginkel (ARI)",0,0,0,0,0,0,0,0,1
"Luis Matos (SFG)",0,0,0,0,0,0,1,1,0
"Drew Waters (KCR)",0,0,0,0,0,0,1,1,0
"Matt Strahm (PHI)",0,0,0,0,0,0,0,0,1
"Jakob Junis (MIL)",0,0,0,0,0,0,0,0,1
"Jorge Mateo (BAL)",0,0,0,0,1,1,0,1,0
"Abner Uribe (MIL)",0,0,0,0,0,0,0,0,1
"Christian Vazquez (MIN)",1,0,0,0,0,1,0,1,0
"Gio Urshela (DET)",0,1,0,1,0,1,0,1,0
"Stone Garrett (WSN)",0,0,0,0,0,0,1,1,0
"Joey Gallo (WSN)",0,1,0,0,0,1,1,1,0
"J.P. France (HOU)",0,0,0,0,0,0,0,0,1
"Isiah Kiner-Falefa (TOR)",0,0,0,1,0,1,1,1,0
"Curtis Mead (TBR)",0,0,1,1,1,1,0,1,0
"Erik Swanson (TOR)",0,0,0,0,0,0,0,0,1
"Giovanny Gallegos (STL)",0,0,0,0,0,0,0,0,1
"Shelby Miller (DET)",0,0,0,0,0,0,0,0,1
"Heston Kjerstad (BAL)",0,0,0,0,0,0,1,1,0
"Justin Foscue (TEX)",0,0,1,0,0,1,0,1,0
"Ji Hwan Bae (PIT)",0,0,1,0,0,1,1,1,0
"Michael Soroka (CHW)",0,0,0,0,0,0,0,0,1
"Mike Yastrzemski (SFG)",0,0,0,0,0,0,1,1,0
